"TimeUS","DesRoll","Roll","DesPitch","Pitch","DesYaw","Yaw","AEKF","ap_time_s"
"13799978","14","14.535632","5.71","5.0565915","0","103.706924","0","13.799978"
"13839978","14","14.527899","5.75","5.076558","0","104.156555","0","13.839978"
"13879978","14","14.519207","5.75","5.0952888","0","104.6005","0","13.879978"
"13919978","14","14.509946","5.75","5.111519","0","105.04118","0","13.919978"
"13959978","14","14.50004","5.75","5.126598","0","105.478294","0","13.959978"
"13999978","14","14.490957","5.75","5.1391606","0","105.91138","0","13.999978"
"14039978","14","14.481981","5.75","5.15105","0","106.34148","0","14.039978"
"14079978","14","14.474415","5.7999997","5.161474","0","106.76669","0","14.079978"
"14119978","14","14.467941","5.7999997","5.1696324","0","107.18987","0","14.119978"
"14159978","14","14.460858","5.7999997","5.1755548","0","107.60954","0","14.159978"
"14199978","14","14.454218","5.7999997","5.1806736","0","108.02615","0","14.199978"
"14239978","14","14.444925","5.7999997","5.186412","0","108.44278","0","14.239978"
"14279978","14","14.43549","5.8399997","5.1919293","0","108.85648","0","14.279978"
"14319978","14","14.425992","5.8399997","5.1962767","0","109.27002","0","14.319978"
"14359978","14","14.416122","5.8399997","5.2014756","0","109.68242","0","14.359978"
"14399978","14","14.409495","5.8399997","5.207582","0","110.0948","0","14.399978"
"14439978","14","14.404074","5.8399997","5.2151933","0","110.506775","0","14.439978"
"14479978","14","14.400667","5.8799996","5.223645","0","110.91615","0","14.479978"
"14519978","14","14.398381","5.8799996","5.231562","0","111.32648","0","14.519978"
"14559978","14","14.396187","5.8799996","5.238574","0","111.73564","0","14.559978"
"14599978","14","14.394691","5.83","5.2452593","0","112.144424","0","14.599978"
"14639978","14","14.391343","5.83","5.2538605","0","112.55368","0","14.639978"
"14679978","14","14.387911","5.8799996","5.2619376","0","112.96049","0","14.679978"
"14719978","14","14.385153","5.8799996","5.2670565","0","113.36714","0","14.719978"
"14759978","14","14.382392","5.8799996","5.2696147","0","113.771484","0","14.759978"
"14799978","14","14.379767","5.8799996","5.2698784","0","114.17452","0","14.799978"
"14839978","14","14.378025","5.87","5.2700167","0","114.57697","0","14.839978"
"14879978","14","14.379149","5.87","5.269162","0","114.97667","0","14.879978"
"14919978","14","14.382059","5.87","5.2667055","0","115.375275","0","14.919978"
"14959978","14","14.385822","5.87","5.2645583","0","115.77216","0","14.959978"
"14999978","14","14.389966","5.92","5.262505","0","116.16741","0","14.999978"
"15039978","0","14.392398","5.87","5.261433","0","116.56188","0","15.039978"
"15079978","0","14.385462","5.87","5.2612724","0","116.95343","0","15.079978"
"15119978","0","14.275727","5.91","5.2607775","0","117.34942","0","15.119978"
"15159978","0","13.983268","5.91","5.2563467","0","117.762726","0","15.159978"
"15199978","0","13.509142","5.8599997","5.243605","0","118.21184","0","15.199978"
"15239978","0","12.893028","5.8599997","5.220623","0","118.71155","0","15.239978"
"15279978","0","12.182307","5.91","5.185459","0","119.266884","0","15.279978"
"15319978","0","11.41956","5.91","5.136417","0","119.88448","0","15.319978"
"15359978","0","10.637741","5.85","5.0757537","0","120.558784","0","15.359978"
"15399978","0","9.861428","5.89","5.0065565","0","121.28171","0","15.399978"
"15439978","0","9.097744","5.89","4.9336233","0","122.04065","0","15.439978"
"15479978","0","8.365073","5.85","4.860418","0","122.81747","0","15.479978"
"15519978","0","7.6707125","5.85","4.790649","0","123.601585","0","15.519978"
"15559978","0","7.017941","5.9","4.7303886","0","124.37235","0","15.559978"
"15599978","0","6.4055705","5.85","4.683269","0","125.11093","0","15.599978"
"15639978","0","5.8277626","5.85","4.6537766","0","125.80211","0","15.639978"
"15679978","0","5.2828054","5.89","4.6426444","0","126.42662","0","15.679978"
"15719978","0","4.7668686","5.8399997","4.6490145","0","126.97597","0","15.719978"
"15759978","0","4.273492","5.8399997","4.672365","0","127.43616","0","15.759978"
"15799978","0","3.7964256","5.8799996","4.7098603","0","127.80063","0","15.799978"
"15839978","0","3.3367531","5.8799996","4.7587175","0","128.06639","0","15.839978"
"15879978","0","2.8848753","5.83","4.8145084","0","128.2308","0","15.879978"
"15919978","0","2.4379895","5.8799996","4.8719435","0","128.30005","0","15.919978"
"15959978","0","1.9947462","5.8799996","4.926242","0","128.27867","0","15.959978"
"15999978","0","1.5555873","5.83","4.974117","0","128.17625","0","15.999978"
"16039978","0","1.1241711","5.87","5.012746","0","128.00377","0","16.039978"
"16079978","0","0.70234096","5.87","5.03892","0","127.77372","0","16.079978"
"16119978","0","0.29467586","5.8199997","5.052089","0","127.501335","0","16.119978"
"16159978","0","-0.09537317","5.87","5.0522804","0","127.2003","0","16.159978"
"16199978","0","-0.46263584","5.87","5.0393066","0","126.8851","0","16.199978"
"16239978","0","-0.8034195","5.8199997","5.0164666","0","126.56774","0","16.239978"
"16279978","0","-1.1114124","5.8599997","4.9870005","0","126.258705","0","16.279978"
"16319978","0","-1.3824278","5.8599997","4.9535236","0","125.97076","0","16.319978"
"16359978","0","-1.6130246","5.81","4.918635","0","125.709656","0","16.359978"
"16399978","0","-1.7994894","5.81","4.8857017","0","125.480965","0","16.399978"
"16439978","0","-1.9440289","5.8599997","4.8575244","0","125.28883","0","16.439978"
"16479978","0","-2.0459435","5.81","4.834963","0","125.1307","0","16.479978"
"16519978","0","-2.1082957","5.81","4.820884","0","125.00977","0","16.519978"
"16559978","0","-2.1341615","5.81","4.8142104","0","124.92093","0","16.559978"
"16599978","0","-2.1269987","5.85","4.8142076","0","124.86052","0","16.599978"
"16639978","0","-2.0850923","5.7999997","4.8205957","0","124.82521","0","16.639978"
"16679978","0","-2.016382","5.7999997","4.831711","0","124.80475","0","16.679978"
"16719978","0","-1.9268901","5.7999997","4.8451853","0","124.79554","0","16.719978"
"16759978","0","-1.8225303","5.7999997","4.857242","0","124.78934","0","16.759978"
"16799978","0","-1.7076457","5.7999997","4.866799","0","124.77973","0","16.799978"
"16839978","0","-1.5825278","5.7999997","4.8742313","0","124.764275","0","16.839978"
"16879978","0","-1.4582726","5.75","4.8775373","0","124.73485","0","16.879978"
"16919978","0","-1.339169","5.79","4.8771014","0","124.68989","0","16.919978"
