"TimeUS","Name","Value","Default","ap_time_s"
"3059985","COMPASS_ODI_Y","0","0","3.059985"
"3059985","COMPASS_ODI_Z","0","0","3.059985"
"3059985","COMPASS_DIA2_X","1","1","3.059985"
"3059985","COMPASS_DIA2_Y","1","1","3.059985"
"3059985","COMPASS_DIA2_Z","1","1","3.059985"
"3059985","COMPASS_ODI2_X","0","0","3.059985"
"3059985","COMPASS_ODI2_Y","0","0","3.059985"
"3059985","COMPASS_ODI2_Z","0","0","3.059985"
"3059985","COMPASS_DIA3_X","1","1","3.059985"
"3059985","COMPASS_DIA3_Y","1","1","3.059985"
"3059985","COMPASS_DIA3_Z","1","1","3.059985"
"3059985","COMPASS_ODI3_X","0","0","3.059985"
"3059985","COMPASS_ODI3_Y","0","0","3.059985"
"3059985","COMPASS_ODI3_Z","0","0","3.059985"
"3059985","COMPASS_CAL_FIT","16","16","3.059985"
"3059985","COMPASS_OFFS_MAX","1800","1800","3.059985"
"3059985","COMPASS_PMOT_EN","0","0","3.059985"
"3059985","COMPASS_DISBLMSK","0","0","3.059985"
"3059985","COMPASS_FLTR_RNG","0","0","3.059985"
"3059985","COMPASS_AUTO_ROT","2","2","3.059985"
"3059985","COMPASS_PRIO1_ID","97539","0","3.059985"
"3059985","COMPASS_PRIO2_ID","131874","0","3.059985"
"3059985","COMPASS_PRIO3_ID","263178","0","3.059985"
"3059985","COMPASS_ENABLE","1","1","3.059985"
"3059985","COMPASS_SCALE","1","1","3.059985"
"3059985","COMPASS_SCALE2","1","1","3.059985"
"3059985","COMPASS_SCALE3","1","1","3.059985"
"3059985","COMPASS_OPTIONS","0","0","3.059985"
"3059985","COMPASS_DEV_ID4","97283","0","3.059985"
"3059985","COMPASS_DEV_ID5","97795","0","3.059985"
"3059985","COMPASS_DEV_ID6","98051","0","3.059985"
"3059985","COMPASS_DEV_ID7","0","0","3.059985"
"3059985","COMPASS_DEV_ID8","0","0","3.059985"
"3059985","SCHED_DEBUG","0","0","3.059985"
"3059985","SCHED_LOOP_RATE","50","50","3.059985"
"3059985","SCHED_OPTIONS","0","0","3.059985"
"3059985","RCMAP_ROLL","1","1","3.059985"
"3059985","RCMAP_PITCH","2","2","3.059985"
"3059985","RCMAP_THROTTLE","3","3","3.059985"
"3059985","RCMAP_YAW","4","4","3.059985"
"3059985","INS_GYROFFS_X","0","0","3.059985"
"3059985","INS_GYROFFS_Y","0","0","3.059985"
"3059985","INS_GYROFFS_Z","0","0","3.059985"
"3059985","INS_GYR2OFFS_X","0","0","3.059985"
"3059985","INS_GYR2OFFS_Y","0","0","3.059985"
"3059985","INS_GYR2OFFS_Z","0","0","3.059985"
"3059985","INS_GYR3OFFS_X","0","0","3.059985"
"3059985","INS_GYR3OFFS_Y","0","0","3.059985"
"3059985","INS_GYR3OFFS_Z","0","0","3.059985"
"3059985","INS_ACCSCAL_X","1.001","1.001","3.059985"
"3059985","INS_ACCSCAL_Y","1.001","1.001","3.059985"
"3059985","INS_ACCSCAL_Z","1.001","1.001","3.059985"
"3059985","INS_ACCOFFS_X","0.001","0.001","3.059985"
"3059985","INS_ACCOFFS_Y","0.001","0.001","3.059985"
"3059985","INS_ACCOFFS_Z","0.001","0.001","3.059985"
"3059985","INS_ACC2SCAL_X","1.001","1.001","3.059985"
"3059985","INS_ACC2SCAL_Y","1.001","1.001","3.059985"
"3059985","INS_ACC2SCAL_Z","1.001","1.001","3.059985"
"3059985","INS_ACC2OFFS_X","0.001","0.001","3.059985"
"3059985","INS_ACC2OFFS_Y","0.001","0.001","3.059985"
"3059985","INS_ACC2OFFS_Z","0.001","0.001","3.059985"
"3059985","INS_ACC3SCAL_X","1","1","3.059985"
"3059985","INS_ACC3SCAL_Y","1","1","3.059985"
"3059985","INS_ACC3SCAL_Z","1","1","3.059985"
"3059985","INS_ACC3OFFS_X","0","0","3.059985"
"3059985","INS_ACC3OFFS_Y","0","0","3.059985"
"3059985","INS_ACC3OFFS_Z","0","0","3.059985"
"3059985","INS_GYRO_FILTER","20","20","3.059985"
"3059985","INS_ACCEL_FILTER","20","20","3.059985"
"3059985","INS_USE","1","1","3.059985"
"3059985","INS_USE2","1","1","3.059985"
"3059985","INS_USE3","1","1","3.059985"
"3059985","INS_STILL_THRESH","0.05","0.05","3.059985"
"3059985","INS_GYR_CAL","0","0","3.059985"
"3059985","INS_TRIM_OPTION","1","1","3.059985"
"3059985","INS_ACC_BODYFIX","2","2","3.059985"
"3059985","INS_POS1_X","0","0","3.059985"
"3059985","INS_POS1_Y","0","0","3.059985"
