"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"19239978","1.850002","0.39376917","0.025943939","0.50861704","-1.3569537","0.0056633903","1.4708308","0","1","1.0530213","0","19.239978"
"19279978","1.7250065","0.40486634","0.0251051","0.4921721","-1.3222036","-0.021698108","1.4427723","-0","1","1.0878193","0","19.279978"
"19319978","1.7500126","0.4085215","0.024921717","0.48857695","-1.2879031","-0.0081031285","1.437644","-0","1","1.1198893","0","19.319978"
"19359978","1.6500193","0.4060077","0.024421478","0.47877005","-1.2540052","-0.021466646","1.4123853","-0","1","1.1488571","0","19.359978"
"19399978","1.6750256","0.3986977","0.024038102","0.47125417","-1.2209182","-0.011393408","1.3894461","-0","1","1.1726863","0","19.399978"
"19439978","1.6750315","0.3875589","0.024070928","0.4718977","-1.1878613","-0.00021761935","1.3795538","-0","1","1.190137","0","19.439978"
"19479978","1.5750366","0.3733659","0.023422398","0.45918357","-1.1554983","-0.016814992","1.3393024","-0","1","1.2018876","0","19.479978"
"19519978","1.7000408","0.35607684","0.024271883","0.47583726","-1.1224552","0.022876238","1.3625396","0","1","1.2085567","0","19.519978"
"19559978","1.6000441","0.33586097","0.024530718","0.4809116","-1.0886376","0.004306515","1.3562796","-0","1","1.2107073","0","19.559978"
"19599978","1.6250465","0.31421435","0.024638101","0.48301682","-1.0548769","0.0062532867","1.3431941","-0","1","1.1752967","0","19.599978"
"19639978","1.6500471","0.29256707","0.025123361","0.49253008","-1.0205628","0.01690299","1.3443509","0","1","1.128755","0","19.639978"
"19679978","1.5500473","0.27265072","0.025168594","0.49341685","-0.985792","-0.0029293548","1.3299023","-0","1","1.0840564","0","19.679978"
"19719978","1.5750473","0.2562465","0.025058292","0.4912544","-0.9513783","-0.001210995","1.3115234","-0","1","1.0411277","0","19.719978"
"19759978","1.5750442","0.24441044","0.025176436","0.49357057","-0.9168141","0.003253507","1.3058231","-0","1","0.9998991","0","19.759978"
"19799978","1.6000384","0.23788717","0.024910895","0.4883648","-0.8828027","0.0044345465","1.2887907","0","1","0.9815514","0","19.799978"
"19839978","1.6000314","0.23632208","0.025317071","0.4963276","-0.84812343","0.011729791","1.3029685","0","1","0.98357075","0","19.839978"
"19879978","1.4750254","0.2381992","0.024875103","0.4876631","-0.81354016","-0.01959187","1.2851944","-0","1","0.9840414","0","19.879978"
"19919978","1.4750208","0.24239841","0.024110466","0.47267282","-0.78017044","-0.024013193","1.2552321","-0","1","0.98608756","0","19.919978"
"19959978","1.4750171","0.2489759","0.0236438","0.46352404","-0.74752885","-0.016668571","1.2393154","-0","1","0.9866908","0","19.959978"
"19999978","1.4000151","0.25772","0.022630159","0.44365215","-0.71611804","-0.03039505","1.2022867","-0","1","0.97430396","0","19.999978"
"20039978","1.400015","0.267539","0.02200707","0.43143687","-0.6856818","-0.02186577","1.1814693","-0","1","0.9593662","0","20.039978"
"20079978","1.2750181","0.27729452","0.02097555","0.41121444","-0.6562838","-0.040974416","1.1446233","-0","1","0.94502","0","20.079978"
"20119978","1.3000247","0.28483337","0.02013726","0.39478022","-0.6283592","-0.02921045","1.114356","-0","1","0.9312419","0","20.119978"
"20159978","1.4000348","0.28897724","0.020608244","0.4040136","-0.6001745","0.008251618","1.1376455","0","1","0.93103653","0","20.159978"
"20199978","1.3000486","0.2879194","0.02002147","0.3925102","-0.57249594","-0.014095795","1.1112196","-0","1","0.94322485","0","20.199978"
"20239978","1.3250645","0.28078896","0.02007024","0.39346635","-0.54494303","-0.00020229946","1.1060466","-0","1","0.95305324","0","20.239978"
"20279978","1.3500772","0.26843965","0.020521427","0.4023116","-0.5168859","0.012831189","1.1153502","0","1","0.9603129","0","20.279978"
"20319978","1.2250874","0.25272587","0.019802207","0.3882117","-0.48948067","-0.016563596","1.0710025","-0","1","0.96527654","0","20.319978"
"20359978","1.2500948","0.23477267","0.019848147","0.38911232","-0.46223587","-0.00053872366","1.0574068","-0","1","0.9681925","0","20.359978"
"20399978","1.1751003","0.21592778","0.019758295","0.3873508","-0.4348626","-0.009343049","1.0377786","-0","1","0.96928704","0","20.399978"
"20439978","1.2001041","0.19691414","0.019740313","0.3869983","-0.40774742","-0.0011182182","1.0197598","-0","1","0.9579568","0","20.439978"
"20479978","1.2251056","0.17839396","0.020149648","0.39502308","-0.3801879","0.011514579","1.0220032","0","1","0.92961425","0","20.479978"
